index,match_id,winner_id,winner_name,loser_id,loser_name,win_type,submission,winner_points,loser_points,adv_pen,weight_class,sex,stage,year,event_id,winner_elo_start,loser_elo_start,winner_elo_end,loser_elo_end
997,443,-1,Matt Hughes,278,Ricardo Almeida,POINTS,,-1,-1,,99KG,M,R1,2000,114,1000.0,1062.56,1023.56,1039.0
826,412,515,Royler Gracie,-1,A. Hamlet,POINTS,,10,0,,66KG,M,SF,2000,115,1150.87,1000.0,1165.06,985.81
837,433,481,Saulo Ribeiro,-1,Jerry Bolander,POINTS,,2,0,,88KG,M,R1,2000,116,1104.52,977.92,1117.54,964.9
462,452,1817,Rigan Machado,3357,Jose Mario Queiroga,POINTS,,3,0,,+99KG,M,R1,2000,117,995.36,1000.0,1015.63,979.73
1017,492,-1,Mark Kerr,232,Jose Mario Sperry,POINTS,,-1,-1,,ABS,M,SPF,2001,118,1092.9,1143.26,1124.93,1111.23
1009,532,-1,Sanae Kikuta,481,Saulo Ribeiro,POINTS,,3,0,,88KG,M,F,2001,119,978.71,1117.54,1014.58,1081.67
441,504,515,Royler Gracie,1023,Baret Yoshida,POINTS,,2,0,,66KG,M,F,2001,120,1165.06,963.35,1177.46,950.95
449,569,88,Jean Jacques Machado,278,Ricardo Almeida,POINTS,,3,0,,ABS,M,SF,2001,121,1116.05,1039.0,1134.81,1020.24
806,512,10579,Rodrigo Gracie,-1,Gavin Kulper,SUB,Submission,-1,-1,,77KG,M,4F,2001,122,1088.71,1000.0,1107.69,981.02
822,521,481,Saulo Ribeiro,1994,Travis Lutter,POINTS,,2,0,,88KG,M,R1,2001,123,1081.67,977.59,1095.85,963.41
1018,550,-1,Sean Alvarez,9,Marcio Cruz,POINTS,,-1,-1,,+99KG,M,4F,2001,124,1007.84,1000.0,1029.34,978.5
994,528,6518,Egan Inoue,591,Ricardo Liborio,DECISION,,-1,-1,,88KG,M,4F,2001,125,1002.4,1077.89,1025.1,1055.19
827,493,515,Royler Gracie,4302,Martin Brown,SUB,RNC,-1,-1,,66KG,M,R1,2001,126,1177.46,1000.0,1189.64,987.82
828,500,515,Royler Gracie,4759,Mike Cardosa,SUB,Footlock,-1,-1,,66KG,M,4F,2001,127,1189.64,1000.0,1202.36,987.28
840,561,481,Saulo Ribeiro,-1,T. Yano,POINTS,,11,2,,ABS,M,R1,2001,128,1095.85,985.61,1109.71,971.75
771,562,278,Ricardo Almeida,-1,Marshurenko,POINTS,,-1,-1,,ABS,M,R1,2001,129,1020.24,1000.0,1039.08,981.16
769,538,278,Ricardo Almeida,4302,Y. Setsenko,SUB,RNC,-1,-1,,99KG,M,R1,2001,130,1039.08,1000.0,1059.5,979.58
839,527,481,Saulo Ribeiro,-1,R. Anderson,POINTS,,-1,-1,,88KG,M,4F,2001,131,1109.71,1000.0,1124.99,984.72
770,545,278,Ricardo Almeida,-1,A. Cacareco,POINTS,,2,0,,99KG,M,SF,2001,132,1059.5,1000.0,1079.43,980.07
145,516,687,Marcio Feitosa,10579,Rodrigo Gracie,POINTS,,-1,-1,,77KG,M,SF,2001,133,1041.86,1107.69,1070.35,1079.2
799,498,195,Robson Moura,-1,Joe Guilbert,DECISION,,-1,-1,,66KG,M,4F,2001,134,1000.0,1000.0,1018.7,981.3
798,495,195,Robson Moura,4302,Hiroyuko Abe,SUB,RNC,-1,-1,,66KG,M,R1,2001,135,1018.7,1000.0,1040.46,978.24
542,508,687,Marcio Feitosa,5463,Peter Angerer,SUB,Armbar,-1,-1,,77KG,M,R1,2001,136,1070.35,1000.0,1088.76,981.59
502,537,1369,Dean Lister,4302,M. Yano,SUB,RNC,-1,-1,,99KG,M,R1,2001,137,1000.0,1000.0,1023.0,977.0
543,515,687,Marcio Feitosa,-1,F. Vasconcelos,POINTS,,-1,-1,,77KG,M,4F,2001,138,1088.76,1000.0,1105.26,983.5
238,564,88,Jean Jacques Machado,9,Marcio Cruz,SUB,Footlock,-1,-1,,ABS,M,4F,2001,139,1134.81,978.5,1149.44,963.87
212,503,1023,Baret Yoshida,727,Alexandre de Freitas,SUB,Kneebar,-1,-1,,66KG,M,SF,2001,140,950.95,1119.45,990.98,1079.42
576,547,6167,Ricco Rodriguez,5463,Y. Yatso,SUB,Armbar,-1,-1,,+99KG,M,R1,2001,141,1103.39,1000.0,1119.74,983.65
911,525,591,Ricardo Liborio,5463,Tamura,SUB,Armbar,-1,-1,,88KG,M,R1,2001,142,1055.19,1000.0,1074.57,980.62
910,534,93,Ricardo Arona,-1,R. Mashurenko,POINTS,,2,0,,99KG,M,R1,2001,143,1091.6,1000.0,1106.45,985.15
772,567,278,Ricardo Almeida,5463,M. Van,SUB,Armbar,-1,-1,,ABS,M,4F,2001,144,1079.43,1000.0,1099.04,980.39
882,551,6167,Ricco Rodriguez,-1,Roger Neff,SUB,Kneebar,-1,-1,,+99KG,M,4F,2001,145,1119.74,1000.0,1136.65,983.09
777,568,93,Ricardo Arona,-1,Vitor Belfort,POINTS,,3,0,,ABS,M,SF,2001,146,1106.45,1000.0,1123.32,983.13
776,557,93,Ricardo Arona,4759,Roger Neff,SUB,Footlock,-1,-1,,ABS,M,R1,2001,147,1123.32,983.09,1137.51,968.9
775,540,93,Ricardo Arona,-1,R. Babalu,POINTS,,2,0,,99KG,M,4F,2001,148,1137.51,1000.0,1151.23,986.28
873,544,93,Ricardo Arona,-1,Olav Einemo,POINTS,,3,0,,99KG,M,SF,2001,149,1151.23,1000.0,1165.4,985.83
766,522,52,Renzo Gracie,-1,Chris Brown,POINTS,,-1,-1,,88KG,M,R1,2001,150,1155.72,1000.0,1167.31,988.41
717,548,9,Marcio Cruz,-1,Van Arsdale,SUB,Kneebar,-1,-1,,+99KG,M,R1,2001,151,963.87,1000.0,989.25,974.62
726,507,1858,Matt Serra,4302,Takanori Gomi,SUB,RNC,-1,-1,,77KG,M,R1,2001,152,1000.0,1000.0,1023.0,977.0
917,506,10579,Rodrigo Gracie,-1,Genki Sudo,POINTS,,9,0,,77KG,M,R1,2001,153,1079.2,1000.0,1094.72,984.48
406,514,1858,Matt Serra,88,Jean Jacques Machado,POINTS,,-1,-1,,77KG,M,4F,2001,154,1023.0,1149.44,1052.67,1119.77
927,499,727,Alexandre de Freitas,-1,T. Yano,SUB,Guillotine,-1,-1,,66KG,M,4F,2001,155,1079.42,971.75,1097.12,954.05
331,502,515,Royler Gracie,195,Robson Moura,POINTS,,2,0,,66KG,M,SF,2001,156,1202.36,1040.46,1215.92,1026.9
318,546,93,Ricardo Arona,278,Ricardo Almeida,POINTS,,-1,-1,,99KG,M,F,2001,157,1165.4,1099.04,1186.49,1077.95
623,520,12,Antonio Schembri,4302,Akihiro Gono,SUB,RNC,-1,-1,,88KG,M,R1,2001,158,1000.0,981.4,1021.77,959.63
41,505,195,Robson Moura,727,Alexandre de Freitas,POINTS,,-1,-1,,66KG,M,3PLC,2001,159,1026.9,1097.12,1054.49,1069.53
611,497,1023,Baret Yoshida,620,Gustavo Dantas,SUB,Kneebar,-1,-1,,66KG,M,R1,2001,160,990.98,1000.0,1014.58,976.4
610,533,12,Antonio Schembri,6518,Egan Inoue,POINTS,,-1,-1,,88KG,M,3PLC,2001,161,1021.77,1025.1,1044.99,1001.88
1001,536,-1,Olav Einemo,1817,Rigan Machado,POINTS,,-1,-1,,99KG,M,R1,2001,162,985.83,1015.63,1007.54,993.92
594,496,727,Alexandre de Freitas,-1,Y. Kinishi,SUB,Guillotine,-1,-1,,66KG,M,R1,2001,163,1069.53,1000.0,1087.99,981.54
624,526,12,Antonio Schembri,4455,Alexander Savko,SUB,Omoplata,-1,-1,,88KG,M,4F,2001,164,1044.99,1000.0,1067.03,977.96
626,501,1023,Baret Yoshida,3592,N. Uematsu,SUB,Triangle,-1,-1,,66KG,M,4F,2001,165,1014.58,1000.0,1038.82,975.76
319,570,93,Ricardo Arona,88,Jean Jacques Machado,POINTS,,3,0,,ABS,M,F,2001,166,1186.49,1119.77,1207.56,1098.7
340,530,481,Saulo Ribeiro,12,Antonio Schembri,POINTS,,-1,-1,,88KG,M,SF,2001,167,1124.99,1067.03,1145.02,1047.0
317,543,278,Ricardo Almeida,1369,Dean Lister,POINTS,,3,0,,99KG,M,4F,2001,168,1077.95,1023.0,1096.5,1004.45
660,558,88,Jean Jacques Machado,5463,Y. Kohsaka,SUB,Armbar,-1,-1,,ABS,M,R1,2001,169,1098.7,1000.0,1115.34,983.36
322,565,93,Ricardo Arona,481,Saulo Ribeiro,POINTS,,2,0,,ABS,M,4F,2001,170,1207.56,1145.02,1225.64,1126.94
968,554,-1,Mark Robinson,6167,Ricco Rodriguez,POINTS,,-1,-1,,+99KG,M,SF,2001,171,1000.0,1136.65,1032.98,1103.67
659,510,88,Jean Jacques Machado,4302,Serguei Onishuk,SUB,RNC,-1,-1,,77KG,M,R1,2001,172,1115.34,1000.0,1130.97,984.37
969,566,-1,Vitor Belfort,6167,Ricco Rodriguez,POINTS,,2,0,,ABS,M,4F,2001,173,983.13,1103.67,1012.47,1074.33
298,517,1858,Matt Serra,292,Leonardo Santos,SUB,RNC,-1,-1,,77KG,M,SF,2001,174,1052.67,1000.0,1076.12,976.55
577,559,6167,Ricco Rodriguez,-1,A. Cacareco,POINTS,,2,0,,ABS,M,R1,2001,175,1074.33,980.07,1089.03,965.37
372,518,687,Marcio Feitosa,1858,Matt Serra,POINTS,,-1,-1,,77KG,M,F,2001,176,1105.26,1076.12,1129.08,1052.3
274,513,292,Leonardo Santos,419,Leonardo Vieira,POINTS,,3,0,,77KG,M,4F,2001,177,976.55,987.45,999.24,964.76
293,560,9,Marcio Cruz,1204,Roberto Traven,POINTS,,-1,-1,,ABS,M,R1,2001,178,989.25,1083.34,1014.54,1058.05
292,556,9,Marcio Cruz,6167,Ricco Rodriguez,SUB,Armbar,-1,-1,,+99KG,M,3RD,2001,179,1014.54,1089.03,1046.58,1056.99
275,519,292,Leonardo Santos,10579,Rodrigo Gracie,POINTS,,2,0,,77KG,M,3PLC,2001,180,999.24,1094.72,1028.41,1065.55
693,511,419,Leonardo Vieira,-1,Morris Clifoni,SUB,Katagatame,-1,-1,,77KG,M,R1,2001,181,964.76,1000.0,990.08,974.68
767,778,52,Renzo Gracie,-1,G. Sotiropoulos,POINTS,,-1,-1,,77KG,M,R1,2003,182,1167.31,1000.0,1178.36,988.95
721,816,9,Marcio Cruz,-1,Ilir Lafiti,POINTS,,-1,-1,,ABS,M,R1,2003,183,1046.58,1000.0,1063.91,982.67
390,804,84,Alexandre Ribeiro,1369,Dean Lister,POINTS,,8,0,,99KG,M,4F,2003,184,1000.0,1004.45,1022.28,982.17
