match_id,winner_id,winner_name,loser_id,loser_name,win_type,submission,winner_points,loser_points,adv_pen,weight_class,sex,stage,year,event_id,winner_rating_start,loser_rating_start,winner_rating_end,loser_rating_end,winner_rd_end,loser_rd_end
414,419,Leonardo Vieira,4302,Bob Schirmer,SUB,RNC,-1,-1,,77KG,M,R1,2000,75,1500.0,1500.0,1463.4280344712,1288.995832064887,202.3805329670828,290.3189677472295
431,720,Jorge Patino,-1,Karl Webber,POINTS,,15,0,,88KG,M,R1,2000,76,1500.0,1500.0,1589.8051762898947,1337.6891050238826,221.30954687032562,290.3189646747521
420,419,Leonardo Vieira,81,Vitor Ribeiro,POINTS,,-1,-1,,77KG,M,4F,2000,77,1500.0,1500.0,1463.4280344712,1348.812385642972,202.3805329670828,222.46572414038337
463,-1,Mark Kerr,278,Ricardo Almeida,POINTS,,3,0,,ABS,M,SF,2000,78,1500.0,1674.282341541248,2072.387480046591,1680.3097925928914,197.27033678714452,167.03322206748308
422,687,Marcio Feitosa,745,Carlos Machado,POINTS,,2,0,,77KG,M,4F,2000,79,1500.0,1500.0,1642.052080282747,1305.2269234041933,215.30153650446968,290.3189666307005
445,-1,Jeff Monson,559,Rodrigo Medeiros,POINTS,,2,0,,99KG,M,4F,2000,80,1919.4762383180032,1500.0,1776.2091054481962,1423.0522792374586,206.9694014687716,195.0870418905752
434,591,Ricardo Liborio,550,Roberto Magalhaes,POINTS,,9,0,,88KG,M,4F,2000,81,1675.905543225484,1500.0,1724.6117335592753,1405.8146331974856,160.90536098042256,221.30954704848963
440,481,Saulo Ribeiro,591,Ricardo Liborio,POINTS,,-1,-1,,88KG,M,F,2000,82,1692.6584547797343,1675.905543225484,1945.4248660206251,1724.6117335592753,160.49879076018087,160.90536098042256
411,727,Alexandre de Freitas,4302,Joe Gilbert,SUB,RNC,-1,-1,,66KG,M,SF,2000,83,1966.3452261507261,1500.0,1989.1143469752042,1273.1986051505482,168.8111249680186,313.6194844155118
460,559,Rodrigo Medeiros,550,Roberto Magalhaes,POINTS,,10,0,,ABS,M,R1,2000,84,1500.0,1500.0,1423.0522792374586,1405.8146331974856,195.0870418905752,221.30954704848963
464,-1,Tito Ortiz,559,Rodrigo Medeiros,POINTS,,2,0,,ABS,M,SF,2000,85,1500.0,1500.0,1500.0,1423.0522792374586,253.40459638928985,195.0870418905752
428,550,Roberto Magalhaes,-1,Manu Garcia,POINTS,,9,2,,88KG,M,R1,2000,86,1500.0,1500.0,1405.8146331974856,1337.6891050238826,221.30954704848963,290.3189646747521
458,-1,Mark Kerr,6167,Ricco Rodriguez,POINTS,,-1,-1,,+99KG,M,F,2000,87,1500.0,1812.0411583355449,2072.387480046591,1779.1895543317062,197.27033678714452,155.13218152596804
438,591,Ricardo Liborio,720,Jorge Patino,POINTS,,-1,-1,,88KG,M,SF,2000,88,1675.905543225484,1500.0,1724.6117335592753,1589.8051762898947,160.90536098042256,221.30954687032562
439,481,Saulo Ribeiro,-1,Sasha Savko,POINTS,,3,2,,88KG,M,SF,2000,89,1692.6584547797343,1727.2352596621515,1945.4248660206251,1524.6845869351284,160.49879076018087,238.5679541913435
415,52,Renzo Gracie,-1,Dennis Hallman,POINTS,,7,0,,77KG,M,R1,2000,90,1850.7004627449403,1500.0,2087.5185363059204,1433.8433610612292,160.97093799965563,298.06572775658304
423,88,Jean Jacques Machado,4658,Mikey Burnet,SUB,Ezekiel,-1,-1,,77KG,M,4F,2000,91,2051.171041183553,1500.0,2006.0937287674153,1334.0469895889257,176.91128654046005,323.060374819364
424,52,Renzo Gracie,687,Marcio Feitosa,SUB,Guillotine,-1,-1,,77KG,M,SF,2000,92,1850.7004627449403,1500.0,2087.5185363059204,1642.052080282747,160.97093799965563,215.30153650446968
462,278,Ricardo Almeida,81,Vitor Ribeiro,SUB,Kneebar,-1,-1,,ABS,M,4F,2000,93,1674.282341541248,1500.0,1680.3097925928914,1348.812385642972,167.03322206748308,222.46572414038337
426,52,Renzo Gracie,88,Jean Jacques Machado,POINTS,,-1,-1,,77KG,M,F,2000,94,1850.7004627449403,2051.171041183553,2087.5185363059204,2006.0937287674153,160.97093799965563,176.91128654046005
465,278,Ricardo Almeida,559,Rodrigo Medeiros,POINTS,,5,0,,ABS,M,3PLC,2000,95,1674.282341541248,1500.0,1680.3097925928914,1423.0522792374586,167.03322206748308,195.0870418905752
409,727,Alexandre de Freitas,-1,Sasha Plavski,POINTS,,-1,-1,,66KG,M,4F,2000,96,1966.3452261507261,1500.0,1989.1143469752042,1407.2922424621306,168.8111249680186,313.61947771050313
404,515,Royler Gracie,1023,Baret Yoshida,POINTS,,2,0,,66KG,M,R1,2000,97,2176.8209769312234,1410.1122631595003,2340.2316813554958,1403.9133177954627,189.34167216999842,224.69673722678894
456,-1,Mark Kerr,1817,Rigan Machado,POINTS,,2,0,,+99KG,M,SF,2000,98,1500.0,1429.2189641152127,2072.387480046591,1497.8438285768548,197.27033678714452,171.8684254163219
421,52,Renzo Gracie,-1,Israel Albuquerque,POINTS,,3,0,,77KG,M,4F,2000,99,1850.7004627449403,1500.0,2087.5185363059204,1390.2446874031548,160.97093799965563,298.06572901827417
447,93,Ricardo Arona,-1,Tito Ortiz,POINTS,,2,0,,99KG,M,SF,2000,100,1500.0,1500.0,2075.9302803596793,1500.0,209.3619190188458,253.40459638928985
455,1817,Rigan Machado,-1,Pete Williams,POINTS,,7,0,,+99KG,M,4F,2000,101,1429.2189641152127,1500.0,1497.8438285768548,1261.2250122423118,171.8684254163219,269.6469014674834
427,687,Marcio Feitosa,419,Leonardo Vieira,POINTS,,-1,-1,,77KG,M,3PLC,2000,102,1500.0,1500.0,1642.052080282747,1463.4280344712,215.30153650446968,202.3805329670828
418,81,Vitor Ribeiro,-1,Rumina Sato,POINTS,,4,0,,77KG,M,R1,2000,103,1500.0,1500.0,1348.812385642972,1337.6891050238826,222.46572414038337,290.3189646747521
446,93,Ricardo Arona,-1,Kareem Barkalev,POINTS,,-1,-1,,99KG,M,4F,2000,104,1500.0,1457.0902497273157,2075.9302803596793,1340.2863673115714,209.3619190188458,232.96775573838644
453,6167,Ricco Rodriguez,-1,Rodrigo Minotauro,SUB,Kneebar,-1,-1,,+99KG,M,4F,2000,105,1812.0411583355449,1500.0,1779.1895543317062,1313.0874766645597,155.13218152596804,291.6291750091113
