Fighter,Rating,RD
Tom Lawlor,1350.6027972694205,276.9
Shinzo Ansai,1348.8909696172884,277.25
Ethan Crelinsten,1348.3134638139181,216.55
Tamura,1345.5564511798402,277.85
Antonio Braga Neto,1344.9665852850358,226.65
Darrel Moodley,1344.7072472109069,279.01
Rodrigo Medeiros,1344.2057089076984,164.46
F. Vasconcelos,1342.5968435818718,275.18
M. Szczecinski,1340.8594077745174,263.92
Kareem Barkalev,1340.2863673115714,232.97
Leonardo Saggioro,1340.061075698618,284.13
Alison Tremblay,1338.2949039221855,335.85
James Harbison,1337.6891050238826,290.32
Muhammad Saleh,1337.6891050238826,290.32
Perttu Tepponen,1337.6891050238826,290.32
Jorge Santiago,1337.6891050238826,290.32
Mraz Avdoyan,1337.6891050238826,290.32
Alec Baulding,1337.6891050238826,290.32
Roberto Alencar,1337.6891050238826,290.32
Akira Shoji,1337.6891050238826,290.32
Erik Paulson,1337.6891050238826,290.32
J. Pietkainen,1337.6891050238826,290.32
Jesseray Childrey,1337.6891050238826,290.32
Isaque Bahiense,1337.6891050238826,290.32
Ryan Gracie,1337.6891050238826,290.32
T. Kosaka,1337.6891050238826,290.32
Akira Shouji,1337.6891050238826,290.32
Janus Andrejczuk,1337.6891050238826,290.32
Sergio Ardila-Ibarra,1337.6891050238826,290.32
E. Elgland,1337.6891050238826,290.32
Karl Webber,1337.6891050238826,290.32
Rumina Sato,1337.6891050238826,290.32
Manu Garcia,1337.6891050238826,290.32
Gabriel Marangoni,1337.6891050238826,290.32
Jeff Curran,1337.6891050238826,290.32
Amir Allam,1337.6891050238826,290.32
Ashley Williams,1337.6891050238826,290.32
Josh Hayden,1337.6891050238826,290.32
Travers Grubb,1337.6891050238826,290.32
Tommy Langaker,1337.6891050238826,290.32
Robert Sabaruddin,1337.6891050238826,290.32
Jonathan Satava,1337.6891050238826,290.32
Ruan Alvarenga,1337.6891050238826,290.32
Sanshiro Nakamura,1337.6891050238826,290.32
F. Capoane,1337.6891050238826,290.32
Mike Cardosa,1337.6885785704394,342.4
C. Jones,1337.3684031226053,270.83
Joao Costa,1336.5910437326988,271.22
Y. Setsenko,1335.0934963959155,272.84
Tetsu Suzuki,1334.9401616982345,343.95
Amanda Alequin / Santana,1334.5477864178465,329.96
Mikey Burnet,1334.0469895889257,323.06
Toshiyuki Oyama,1333.619039779039,277.35
Yurika Nakakura,1333.3208665251484,317.14
Josh Barnet,1333.1991928040147,279.63
