Fighter,Peak Rating
Lucio Lagarto,1308.8622528536405
Ben Dyson,1308.6089913740502
Janne-Pekka,1307.8652084975802
Yuji Arai,1307.8652084975802
Kit Dale,1307.5690602920426
Joey Gilbert,1306.400011560644
Rodrigo Modrias,1305.2269234041933
Oleg Taktarov,1305.2269234041933
Ricardo Moraes,1305.2269234041933
Carlos Newton,1305.2269234041933
Luis Roberto,1305.2269234041933
Joao Roque,1305.2269234041933
Vernon White,1305.2269234041933
Jerry Bolander,1305.2269234041933
Luis Orlando,1305.2269234041933
Egan Inoe,1305.2269234041933
Carlos Machado,1305.2269234041933
Jehad Hamdan,1305.2269234041933
Fernando Vieira,1305.2269234041933
Cameron Earle,1305.2269234041933
Asa Fuller,1305.2269234041933
Janne Pietilainen,1305.2269234041933
Mikael Knutsson,1305.2269234041933
Rikako Yuasa,1305.2269234041933
Eleftheria Christodoulou,1305.2269234041933
Elisabeth Clay,1305.2269234041933
Elvira Karppinen,1305.2269234041933
George St,1301.8621654277506
Yuki Ozawa,1300.78995640782
Perttu Terpponnen,1298.4097739793892
Kamil Wilk,1297.6858360965346
Yukissyu Ozawa,1297.3367260093817
Jose Mario Queiroga,1296.1268712752783
Dave Menne,1294.785394390267
Eduardo Rios,1293.58718063362
Fellipe Andrew,1293.3199220155623
Nieman Gracie,1292.9626056772856
John Combs,1292.9119931346927
Nicholas Renier,1292.4645608625274
Nathan Marquardt,1291.737675703624
M. Van,1291.5533401251914
Pedro Marinho,1290.323103008292
Nate Marquardt,1289.8580042410322
Michael Perez,1289.779634704934
Adrian Serrano,1288.995832064887
Yousef Elzien,1288.995832064887
Wellington Dias,1288.995832064887
Juan Valles,1288.995832064887
Jurie Rachel,1288.995832064887
Ryan Harvey,1288.995832064887
Gao Hua,1288.995832064887
Mourat Ozov,1288.995832064887
H. Kanehara,1288.995832064887
Bob Schirmer,1288.995832064887
Hiroyuko Abe,1288.995832064887
M. Yano,1288.995832064887
Van Arsdale,1288.995832064887
Takanori Gomi,1288.995832064887
Kiuma Kunioku,1288.995832064887
Teemu Launis,1288.995832064887
Jason White,1288.995832064887
Jamie Ballard,1288.995832064887
Chris Bright,1288.995832064887
Hiroshi Nakamura,1288.995832064887
Erico Cocco,1288.995832064887
Jayson Patino,1288.995832064887
Joseph Lee,1288.995832064887
Dan Schon,1288.995832064887
Daniel Strauss,1288.995832064887
Igor Praporschchikov,1288.995832064887
James Poupolo,1288.995832064887
Jimmy Freidrich,1288.995832064887
Erza Lennon,1288.995832064887
Satori Kitaoka,1288.995832064887
Youngnam Noh,1288.995832064887
Kitner Mendoga,1288.995832064887
Alian Drueco,1288.995832064887
Yuta Sasaki,1288.995832064887
Michael Wilson,1288.995832064887
Juskowiak Mateusz,1288.995832064887
Tobias G,1288.995832064887
Alexandre Vieira,1288.995832064887
Young-Ahm,1288.995832064887
Asadulaev Surkhay,1288.995832064887
Nicollas Renier,1288.995832064887
Leandro Lo,1288.995832064887
Eldar Rafigaev,1288.995832064887
Gabriel Almeida,1288.995832064887
R. Alvarenga,1288.995832064887
Henrique Cardoso,1288.995832064887
William Tackett,1288.995832064887
Radoslaw Turek,1287.9700829716603
Ilir Lafiti,1284.0163472361212
Michelle Nicolini,1282.5033954222693
Felipe Cesar,1281.2975975995898
Andy Varela,1280.8756956519449
Wagnney Fabiano,1280.015954639724
Eliott Kelly,1275.4783222995954
Gerardi Rinaldi,1274.6703454721046
Ricardo Mesquita,1274.0148687725327
Joe Gilbert,1273.1986051505482
Fabiano Iha,1272.7647403378485
Melchor M.,1272.7647403378485
Darren Andy,1271.5885299107447
Keith Krikorian,1270.5524915729084
Rodrigo Cavaca,1270.041421263797
Alex Negao,1269.2906534479957
Magid Hage,1266.196825853422
Abdulkadirov Magomed,1264.5938835132267
Allan Teo,1264.4454182881427
Mario Delgado,1262.852991279024
Pete Williams,1261.2250122423118
Enson Inoe,1259.8607276708701
Morris Clifoni,1259.4158055666799
Rob Di,1258.3423046451603
Tim Carpenter,1256.7997066673533
Keita Nakamura,1256.6129839953703
Elvira Karpinnen,1256.5939323619782
Adele Fornarino,1255.0772022626718
Shinsho Anzai,1253.212234133228
Roger Neff,1252.2988835917406
Trevor Lally,1251.6643204639831
Larry Parker,1251.6643204639831
Micah Pittman,1251.6643204639831
Alexander Savko,1251.6643204639831
Akira Soji,1251.6643204639831
Mark Bocek,1251.6643204639831
Christian Moriarty,1251.6643204639831
Joel Tudor,1251.6643204639831
Ben Henderson,1251.6643204639831
Kethe Engen,1251.6643204639831
Jimmy Friedrich,1251.6643204639831
Amanda Leve,1251.6643204639831
Giovanna Jara,1251.6643204639831
Shinya Aoki,1251.6432463886845
Kim Dong,1249.8722291594154
Antonio Peinado,1247.8637644256964
Milton Vieira,1246.4945615202628
Shane Hill-Taylor,1246.3860862612426
Jon Einemo,1245.256955685353
Jamal Peterson,1241.6589551373488
Ricardo Alves,1240.3025556012278
Hannette Staack,1240.3025556012278
Hanette Staack,1240.3025556012278
Jon Hansen,1238.3868993223418
Jacob Rodriguez,1237.258194781076
Mark Ramos,1235.6434640975185
Livia Giles,1234.2888540713193
Gustavo Dantas,1233.4974942361737
Mateusz Garmot,1233.4304512629028
Diego Sanchez,1232.882133334962
Jeon Doo,1230.4386977376178
A. Zhanpeisov,1230.058332291548
Alexandre Jesus,1229.3319727398436
Fernanda Mazelli,1225.39289290355
John Einimo,1223.8933920296583
Michael Groth,1223.8933920296583
Chris Wideman,1216.5197725482683
Jorge Britto,1215.8360612922793
Marc,1214.3328064487162
Renato Verissimo,1214.3328064487162
Simon Siasi,1214.3328064487162
Firas Nakdali,1214.3328064487162
Ahmad Faraj,1214.3328064487162
Penny Thomas,1214.3328064487162
Talita Treta,1211.6991445790795
Gunnar Nelson,1210.9726265385725
