Fighter,Elo Rating
Jacob Rodriguez,978.16
Egan Inoe,978.0
Carlos Machado,978.0
Rikako Yuasa,978.0
Eleftheria Christodoulou,978.0
Alexander Savko,977.96
E. Karppinen,977.85
Hanette Staack,977.83
Manu Garcia,977.75
Eduardo Rios,977.61
Kim Dong,977.58
Fabricio Andrey,977.57
Joel Tudor,977.55
John Einimo,977.53
Rumina Sato,977.49
Alex Negao,977.42
Perttu Terpponnen,977.39
Gao Hua,977.36
Nate Marquardt,977.34
Michelle Nicolini,977.29
Shinsho Anzai,977.18
Fabiano Iha,977.17
Jason Ramsterrer,977.16
Jamal Peterson,977.06
Felipe Cesar,977.05
Wellington Dias,977.0
M. Yano,977.0
Takanori Gomi,977.0
Jason White,977.0
Joseph Lee,977.0
Daniel Strauss,977.0
Igor Praporschchikov,977.0
Satori Kitaoka,977.0
Juskowiak Mateusz,977.0
Tobias G,977.0
Nicollas Renier,977.0
Leandro Lo,977.0
R. Alvarenga,977.0
Henrique Cardoso,977.0
William Tackett,977.0
Erza Lennon,976.99
Fellipe Andrew,976.97
Jehad Hamdan,976.76
George St,976.76
Mike Mrkulic,976.75
Nathan Marquardt,976.75
Luis Orlando,976.48
Michael Groth,976.41
Mayssa Bastos,976.37
Julia Maele,976.33
Mario Delgado,976.32
Erico Cocco,976.32
Alexandre Jesus,976.32
Pete Williams,976.2
Jamie Ballard,976.19
Mark Bocek,976.16
Ahmad Faraj,976.06
Hannette Staack,976.06
Alian Drueco,976.04
Dan Schon,976.02
Kitner Mendoga,975.94
Bob Schirmer,975.83
Teemu Launis,975.83
Adele Fornarino,975.78
N. Uematsu,975.76
Youngnam Noh,975.63
Renato Verissimo,975.62
David Avellan,975.62
Jorge Britto,975.57
Mikael Knutsson,975.54
Asadulaev Surkhay,975.47
Yuta Sasaki,975.27
Alexandre Vieira,975.26
Rodrigo Cavaca,975.23
Don Ortega,975.15
Jon Hansen,975.03
Marc,974.77
Tomas Szczerek,974.7
Kethe Engen,974.7
Amanda Leve,974.7
Oskar Piechota,974.69
Morris Clifoni,974.68
Van Arsdale,974.62
Firas Nakdali,974.15
Patrick Gaudio,973.82
Mateusz Garmot,973.78
Luis Brito,973.51
Giovanna Jara,973.07
A. Cacareco,972.83
Christian Moriarty,972.5
Penny Thomas,972.4
Rustam Chsiev,972.29
Tomasz Narkun,971.87
T. Suzuki,970.97
Ricardo Mesquita,970.93
Robin Gracie,970.1
Otto Olsen,970.1
Roger Neff,968.9
Jon Blank,968.16
Dillon Danis,967.55
Thomas DeBlass,967.17
Shinya Aoki,967.13
Darren Andy,966.91
Antonio Braga Neto,966.73
James Brasco,966.63
Rodrigo Medeiros,966.35
Antonio Peinado,966.07
Diego Sanchez,965.98
M. Perez,965.8
Daniel Simoes,965.7
Radoslaw Turek,965.55
A. Zhanpeisov,965.27
Gabriel Lucas,964.99
Jerry Bolander,964.9
Chris Brown,964.77
Ricardo Moraes,963.92
Clark Gracie,963.78
Travis Lutter,963.41
Michael Perez,962.82
Denis Roberts,961.59
Nicky Ryan,960.94
Gunnar Nelson,960.68
Tero Pyylampi,960.64
Timo-Juhani,960.24
Abdulkadirov Magomed,960.21
Geovanny Martinez,960.17
Ilir Lafiti,959.64
Akihiro Gono,959.63
Eoghan OFlanagan,959.29
Eliott Kelly,959.06
Andy Varela,958.19
Edwin Najmi,958.17
Mike Van,957.79
Y. Ozawa,957.57
Zbigniew Tyszka,957.55
Gustavo Dantas,957.52
Caol Uno,957.16
Matt Lindland,957.14
Ben Henderson,956.6
Antoine Joude,956.48
Pedro Marinho,954.89
T. Yano,954.05
Janne-Pekka,953.89
Dennis Hallman,953.19
Enrico Cocco,950.27
Keith Krikorian,949.71
Paul Ardila-Ibarra,949.47
Gerardi Rinaldi,947.25
Hideki Sekine,944.74
Oliver Taza,944.71
Bruno Bastos,942.46
Cristiano Lazzarini,938.94
Marko Helen,935.6
Mark Ramos,934.6
